timestamp,load,day_of_week,month,load_lag1,load_lag2
2022-01-01 00:00:00,747.6,5,1,0.0,0.0
2022-01-01 01:00:00,717.0,5,1,747.6,0.0
2022-01-01 02:00:00,714.0,5,1,717.0,747.6
2022-01-01 03:00:00,709.2,5,1,714.0,717.0
2022-01-01 04:00:00,724.2,5,1,709.2,714.0
2022-01-01 05:00:00,702.6,5,1,724.2,709.2
2022-01-01 06:00:00,708.0,5,1,702.6,724.2
2022-01-01 07:00:00,697.8,5,1,708.0,702.6
2022-01-01 08:00:00,713.4,5,1,697.8,708.0
2022-01-01 09:00:00,730.2,5,1,713.4,697.8
2022-01-01 10:00:00,750.6,5,1,730.2,713.4
2022-01-01 11:00:00,756.0,5,1,750.6,730.2
2022-01-01 12:00:00,734.4,5,1,756.0,750.6
2022-01-01 13:00:00,736.2,5,1,734.4,756.0
2022-01-01 14:00:00,716.4,5,1,736.2,734.4
2022-01-01 15:00:00,762.6,5,1,716.4,736.2
2022-01-01 16:00:00,718.2,5,1,762.6,716.4
2022-01-01 17:00:00,745.8,5,1,718.2,762.6
2022-01-01 18:00:00,726.6,5,1,745.8,718.2
2022-01-01 19:00:00,745.2,5,1,726.6,745.8
2022-01-01 20:00:00,733.2,5,1,745.2,726.6
2022-01-01 21:00:00,739.8,5,1,733.2,745.2
2022-01-01 22:00:00,700.8,5,1,739.8,733.2
2022-01-01 23:00:00,698.4,5,1,700.8,739.8
2022-01-02 00:00:00,725.4,6,1,698.4,700.8
2022-01-02 01:00:00,705.0,6,1,725.4,698.4
2022-01-02 02:00:00,687.6,6,1,705.0,725.4
2022-01-02 03:00:00,723.0,6,1,687.6,705.0
2022-01-02 04:00:00,689.4,6,1,723.0,687.6
2022-01-02 05:00:00,696.6,6,1,689.4,723.0
2022-01-02 06:00:00,726.6,6,1,696.6,689.4
2022-01-02 07:00:00,720.6,6,1,726.6,696.6
2022-01-02 08:00:00,711.0,6,1,720.6,726.6
2022-01-02 09:00:00,724.2,6,1,711.0,720.6
2022-01-02 10:00:00,741.6,6,1,724.2,711.0
2022-01-02 11:00:00,730.8,6,1,741.6,724.2
2022-01-02 12:00:00,718.8,6,1,730.8,741.6
2022-01-02 13:00:00,729.0,6,1,718.8,730.8
2022-01-02 14:00:00,735.0,6,1,729.0,718.8
2022-01-02 15:00:00,751.2,6,1,735.0,729.0
2022-01-02 16:00:00,717.6,6,1,751.2,735.0
2022-01-02 17:00:00,736.2,6,1,717.6,751.2
2022-01-02 18:00:00,741.6,6,1,736.2,717.6
2022-01-02 19:00:00,739.8,6,1,741.6,736.2
2022-01-02 20:00:00,744.6,6,1,739.8,741.6
2022-01-02 21:00:00,738.6,6,1,744.6,739.8
2022-01-02 22:00:00,740.4,6,1,738.6,744.6
2022-01-02 23:00:00,726.6,6,1,740.4,738.6
2022-01-03 00:00:00,739.2,0,1,726.6,740.4
2022-01-03 01:00:00,735.6,0,1,739.2,726.6
2022-01-03 02:00:00,723.5999999999999,0,1,735.6,739.2
2022-01-03 03:00:00,720.0,0,1,723.5999999999999,735.6
2022-01-03 04:00:00,699.0,0,1,720.0,723.5999999999999
2022-01-03 05:00:00,742.8,0,1,699.0,720.0
2022-01-03 06:00:00,720.0,0,1,742.8,699.0
2022-01-03 07:00:00,735.0,0,1,720.0,742.8
2022-01-03 08:00:00,731.4,0,1,735.0,720.0
2022-01-03 09:00:00,736.2,0,1,731.4,735.0
2022-01-03 10:00:00,750.6,0,1,736.2,731.4
2022-01-03 11:00:00,753.6,0,1,750.6,736.2
2022-01-03 12:00:00,748.2,0,1,753.6,750.6
2022-01-03 13:00:00,759.0,0,1,748.2,753.6
2022-01-03 14:00:00,769.8,0,1,759.0,748.2
2022-01-03 15:00:00,754.2,0,1,769.8,759.0
2022-01-03 16:00:00,764.4,0,1,754.2,769.8
2022-01-03 17:00:00,766.2,0,1,764.4,754.2
2022-01-03 18:00:00,753.0,0,1,766.2,764.4
2022-01-03 19:00:00,759.0,0,1,753.0,766.2
2022-01-03 20:00:00,754.2,0,1,759.0,753.0
2022-01-03 21:00:00,741.0,0,1,754.2,759.0
