Date,Load
01/01/2023 00.00,889.007
01/01/2023 00.30,890.752
01/01/2023 01.00,887.006
01/01/2023 01.30,462.922
01/01/2023 02.00,424.498
01/01/2023 02.30,413.307
01/01/2023 03.00,409.379
01/01/2023 03.30,406.53
01/01/2023 04.00,409.392
01/01/2023 04.30,419.551
01/01/2023 05.00,392.887
01/01/2023 05.30,401.21
01/01/2023 06.00,415.175
01/01/2023 06.30,411.456
01/01/2023 07.00,413.025
01/01/2023 07.30,430.224
01/01/2023 08.00,294.428
01/01/2023 08.30,366.436
01/01/2023 09.00,370.158
01/01/2023 09.30,495.554
01/01/2023 10.00,2213.778
01/01/2023 10.30,2350.405
01/01/2023 11.00,2174.743
01/01/2023 11.30,2016.286
01/01/2023 12.00,2236.013
01/01/2023 12.30,2171.277
01/01/2023 13.00,2133.441
01/01/2023 13.30,2312.541
01/01/2023 14.00,2329.953
01/01/2023 14.30,2338.759
01/01/2023 15.00,2526.844
01/01/2023 15.30,2559.611
01/01/2023 16.00,2954.847
01/01/2023 16.30,3146.278
01/01/2023 17.00,3311.4
01/01/2023 17.30,3652.88
01/01/2023 18.00,3827.732
01/01/2023 18.30,4013.581
01/01/2023 19.00,3678.854
01/01/2023 19.30,3643.792
01/01/2023 20.00,3635.956
01/01/2023 20.30,3494.576
01/01/2023 21.00,3344.187
01/01/2023 21.30,2668.701
01/01/2023 22.00,2243.416
01/01/2023 22.30,1311.8
01/01/2023 23.00,1182.661
01/01/2023 23.30,989.046
02/01/2023 00.00,1163.683
02/01/2023 00.30,1124.292
02/01/2023 01.00,1079.298
02/01/2023 01.30,1063.194
02/01/2023 02.00,982.273
02/01/2023 02.30,636.088
02/01/2023 03.00,628.231
02/01/2023 03.30,601.84
02/01/2023 04.00,559.988
02/01/2023 04.30,549.369
02/01/2023 05.00,449.789
02/01/2023 05.30,432.516
02/01/2023 06.00,453.339
02/01/2023 06.30,473.106
02/01/2023 07.00,460.72
02/01/2023 07.30,349.454
02/01/2023 08.00,442.605
02/01/2023 08.30,427.133
02/01/2023 09.00,354.382
02/01/2023 09.30,1104.526
02/01/2023 10.00,2104.892
02/01/2023 10.30,2126.955
02/01/2023 11.00,2268.873
02/01/2023 11.30,2202.12
02/01/2023 12.00,2127.33
02/01/2023 12.30,2232.348
02/01/2023 13.00,2252.872
02/01/2023 13.30,2494.106
02/01/2023 14.00,2914.664
02/01/2023 14.30,3253.292
02/01/2023 15.00,2617.529
02/01/2023 15.30,2815.646
02/01/2023 16.00,3204.134
02/01/2023 16.30,3463.45
02/01/2023 17.00,3616.272
02/01/2023 17.30,3827.82
02/01/2023 18.00,3875.307
02/01/2023 18.30,3921.714
02/01/2023 19.00,3911.434
02/01/2023 19.30,3988.161
02/01/2023 20.00,3728.877
02/01/2023 20.30,3651.935
02/01/2023 21.00,3542.042
02/01/2023 21.30,2581.56
02/01/2023 22.00,2204.41
02/01/2023 22.30,1333.416
02/01/2023 23.00,1291.36
02/01/2023 23.30,1200.868
03/01/2023 00.00,1071.412
03/01/2023 00.30,632.905
03/01/2023 01.00,616.212
03/01/2023 01.30,599.059
03/01/2023 02.00,513.821
03/01/2023 02.30,535.85
03/01/2023 03.00,500.542
03/01/2023 03.30,491.198
03/01/2023 04.00,465.537
03/01/2023 04.30,443.044
03/01/2023 05.00,462.353
03/01/2023 05.30,460.11
03/01/2023 06.00,489.942
03/01/2023 06.30,507.096
03/01/2023 07.00,487.058
03/01/2023 07.30,384.957
03/01/2023 08.00,444
03/01/2023 08.30,279.58
03/01/2023 09.00,258.14
03/01/2023 09.30,322.495
03/01/2023 10.00,329.341
03/01/2023 10.30,1080.212
03/01/2023 11.00,2031.758
03/01/2023 11.30,2196.087
03/01/2023 12.00,1862.298
03/01/2023 12.30,2219.263
03/01/2023 13.00,2000.298
03/01/2023 13.30,2344.232
03/01/2023 14.00,2212.243
03/01/2023 14.30,4038.518
03/01/2023 15.00,2889.901
03/01/2023 15.30,3049.066
03/01/2023 16.00,3246.622
03/01/2023 16.30,3433.515
03/01/2023 17.00,3705.253
03/01/2023 17.30,3831.902
03/01/2023 18.00,4056.33
03/01/2023 18.30,4018.409
03/01/2023 19.00,3673.651
03/01/2023 19.30,3712.636
03/01/2023 20.00,3672.132
03/01/2023 20.30,3587.721
03/01/2023 21.00,3476.852
03/01/2023 21.30,2646.788
03/01/2023 22.00,2230.269
03/01/2023 22.30,1339.796
03/01/2023 23.00,1271.327
03/01/2023 23.30,1118.045
04/01/2023 00.00,787.334
04/01/2023 00.30,633.372
04/01/2023 01.00,629.916
04/01/2023 01.30,619.298
04/01/2023 02.00,586.86
04/01/2023 02.30,564.477
04/01/2023 03.00,544.821
04/01/2023 03.30,556.945
04/01/2023 04.00,455.169
04/01/2023 04.30,451.25
04/01/2023 05.00,444.933
04/01/2023 05.30,424.19
04/01/2023 06.00,425.202
04/01/2023 06.30,474.015
04/01/2023 07.00,446.055
04/01/2023 07.30,338.999
04/01/2023 08.00,350.982
04/01/2023 08.30,293.869
04/01/2023 09.00,220.034
04/01/2023 09.30,240.316
04/01/2023 10.00,214.998
04/01/2023 10.30,382.304
04/01/2023 11.00,1690.425
04/01/2023 11.30,1865.099
04/01/2023 12.00,1894.281
04/01/2023 12.30,1933.308
04/01/2023 13.00,2284.84
04/01/2023 13.30,2473.36
04/01/2023 14.00,2393.319
04/01/2023 14.30,2598.058
04/01/2023 15.00,2257.008
04/01/2023 15.30,2508.12
04/01/2023 16.00,3035.259
04/01/2023 16.30,3331.366
04/01/2023 17.00,3406.88
04/01/2023 17.30,3692.558
04/01/2023 18.00,3914.537
04/01/2023 18.30,3389.2
04/01/2023 19.00,3511.409
04/01/2023 19.30,3559.607
04/01/2023 20.00,3551.636
04/01/2023 20.30,3469.604
04/01/2023 21.00,3263.432
04/01/2023 21.30,2539.035
04/01/2023 22.00,2288.738
04/01/2023 22.30,1325.379
04/01/2023 23.00,1110.633
04/01/2023 23.30,989.263
05/01/2023 00.00,616.218
05/01/2023 00.30,561.257
05/01/2023 01.00,535.077
05/01/2023 01.30,529.626
05/01/2023 02.00,495.796
05/01/2023 02.30,484.482
05/01/2023 03.00,485.434
05/01/2023 03.30,499.943
05/01/2023 04.00,431.663
05/01/2023 04.30,449.138
05/01/2023 05.00,430.655
05/01/2023 05.30,410.236
05/01/2023 06.00,416.655
05/01/2023 06.30,438.905
05/01/2023 07.00,406.95
05/01/2023 07.30,326.879
05/01/2023 08.00,302.782
05/01/2023 08.30,257.96
05/01/2023 09.00,227.722
05/01/2023 09.30,211.874
05/01/2023 10.00,192.469
05/01/2023 10.30,192.026
05/01/2023 11.00,1893.863
05/01/2023 11.30,2143.552
05/01/2023 12.00,2045.531
05/01/2023 12.30,2075.482
05/01/2023 13.00,2097.085
05/01/2023 13.30,2946.317
05/01/2023 14.00,2295.586
05/01/2023 14.30,2295.696
05/01/2023 15.00,3263.038
05/01/2023 15.30,2977.152
05/01/2023 16.00,2928.088
05/01/2023 16.30,3467.286
05/01/2023 17.00,3380.68
05/01/2023 17.30,3456.774
05/01/2023 18.00,3584.894
05/01/2023 18.30,3721.743
05/01/2023 19.00,3701.596
05/01/2023 19.30,3714.353
05/01/2023 20.00,3614.69
05/01/2023 20.30,3499.824
05/01/2023 21.00,3471.777
05/01/2023 21.30,3154.924
05/01/2023 22.00,2335.062
05/01/2023 22.30,1288.415
05/01/2023 23.00,1016.161
05/01/2023 23.30,689.371
06/01/2023 00.00,655.412
06/01/2023 00.30,573.598
06/01/2023 01.00,560.201
06/01/2023 01.30,543.013
06/01/2023 02.00,508.977
06/01/2023 02.30,516.834
06/01/2023 03.00,497.066
06/01/2023 03.30,494.365
06/01/2023 04.00,433.495
06/01/2023 04.30,428.598
06/01/2023 05.00,476.632
06/01/2023 05.30,435.937
06/01/2023 06.00,480.623
06/01/2023 06.30,525.281
06/01/2023 07.00,464.158
06/01/2023 07.30,415.659
06/01/2023 08.00,370.318
06/01/2023 08.30,301.621
06/01/2023 09.00,308.011
06/01/2023 09.30,256.962
06/01/2023 10.00,386.852
06/01/2023 10.30,948.297
06/01/2023 11.00,2063.25
06/01/2023 11.30,2317.312
06/01/2023 12.00,2040.323
06/01/2023 12.30,2110.047
06/01/2023 13.00,2168.653
06/01/2023 13.30,2193.437
06/01/2023 14.00,2125.844
06/01/2023 14.30,2819.735
06/01/2023 15.00,2341.667
06/01/2023 15.30,3509.605
06/01/2023 16.00,3346.383
06/01/2023 16.30,2768.079
06/01/2023 17.00,3557.826
06/01/2023 17.30,3568.195
06/01/2023 18.00,3966.306
06/01/2023 18.30,3845.665
06/01/2023 19.00,3389.32
06/01/2023 19.30,3640.263
06/01/2023 20.00,3518.543
06/01/2023 20.30,3485.254
06/01/2023 21.00,3416.36
06/01/2023 21.30,3206.255
06/01/2023 22.00,2262.338
06/01/2023 22.30,1374.548
06/01/2023 23.00,1164.043
06/01/2023 23.30,986.591
07/01/2023 00.00,1118.701
07/01/2023 00.30,1063.124
07/01/2023 01.00,670.583
07/01/2023 01.30,638.359
07/01/2023 02.00,572.974
07/01/2023 02.30,581.494
07/01/2023 03.00,557.527
07/01/2023 03.30,556.391
07/01/2023 04.00,480.761
07/01/2023 04.30,438.967
07/01/2023 05.00,475.941
07/01/2023 05.30,449.178
07/01/2023 06.00,406.144
07/01/2023 06.30,470.972
07/01/2023 07.00,440.277
07/01/2023 07.30,379.881
07/01/2023 08.00,448.451
07/01/2023 08.30,423.962
07/01/2023 09.00,371.783
07/01/2023 09.30,539.162
07/01/2023 10.00,1202.282
07/01/2023 10.30,2384.576
07/01/2023 11.00,2126.63
07/01/2023 11.30,2201.658
07/01/2023 12.00,2119.29
07/01/2023 12.30,2227.264
07/01/2023 13.00,2180.708
07/01/2023 13.30,2227.155
07/01/2023 14.00,2396.62
07/01/2023 14.30,2599.576
07/01/2023 15.00,2717.697
07/01/2023 15.30,2731.191
07/01/2023 16.00,3048.302
07/01/2023 16.30,3170.07
07/01/2023 17.00,3373.282
07/01/2023 17.30,3668.663
07/01/2023 18.00,3960.92
07/01/2023 18.30,3456.507
07/01/2023 19.00,3383.215
07/01/2023 19.30,3498.798
07/01/2023 20.00,3582.522
07/01/2023 20.30,3377.178
07/01/2023 21.00,3346.031
07/01/2023 21.30,3110.023
07/01/2023 22.00,2239.478
07/01/2023 22.30,1313.692
07/01/2023 23.00,1156.401
07/01/2023 23.30,1008.142
08/01/2023 00.00,889.007
08/01/2023 00.30,890.752
08/01/2023 01.00,887.006
08/01/2023 01.30,462.922
08/01/2023 02.00,424.498
08/01/2023 02.30,413.307
08/01/2023 03.00,409.379
08/01/2023 03.30,406.53
08/01/2023 04.00,409.392
08/01/2023 04.30,419.551
08/01/2023 05.00,392.887
08/01/2023 05.30,401.21
08/01/2023 06.00,415.175
08/01/2023 06.30,411.456
08/01/2023 07.00,413.025
08/01/2023 07.30,430.224
08/01/2023 08.00,294.428
08/01/2023 08.30,366.436
08/01/2023 09.00,370.158
08/01/2023 09.30,495.554
08/01/2023 10.00,2213.778
08/01/2023 10.30,2350.405
08/01/2023 11.00,2174.743
08/01/2023 11.30,2016.286
08/01/2023 12.00,2236.013
08/01/2023 12.30,2171.277
08/01/2023 13.00,2133.441
08/01/2023 13.30,2312.541
08/01/2023 14.00,2329.953
08/01/2023 14.30,2338.759
08/01/2023 15.00,2526.844
08/01/2023 15.30,2559.611
08/01/2023 16.00,2954.847
08/01/2023 16.30,3146.278
08/01/2023 17.00,3311.4
08/01/2023 17.30,3652.88
08/01/2023 18.00,3827.732
08/01/2023 18.30,4013.581
08/01/2023 19.00,3678.854
08/01/2023 19.30,3643.792
08/01/2023 20.00,3635.956
08/01/2023 20.30,3494.576
08/01/2023 21.00,3344.187
08/01/2023 21.30,2668.701
08/01/2023 22.00,2243.416
08/01/2023 22.30,1311.8
08/01/2023 23.00,1182.661
08/01/2023 23.30,989.046
09/01/2023 00.00,1117.542
09/01/2023 00.30,671.708
09/01/2023 01.00,647.186
09/01/2023 01.30,671.44
09/01/2023 02.00,615.93
