timestamp,load,day_of_week,month
2023-01-01,4013.581,6,1
2023-01-02,3988.161,0,1
2023-01-03,4056.33,1,1
2023-01-04,3914.537,2,1
2023-01-05,3721.743,3,1
2023-01-06,3966.306,4,1
2023-01-07,3960.92,5,1
2023-01-08,4013.581,6,1
2023-01-09,3663.499,0,1
2023-01-10,3698.464,1,1
2023-01-11,3722.65,2,1
2023-01-12,3760.894,3,1
2023-01-13,3997.712,4,1
2023-01-14,3987.573,5,1
2023-01-15,3989.483,6,1
2023-01-16,3910.838,0,1
2023-01-17,3756.042,1,1
2023-01-18,3646.445,2,1
2023-01-19,3630.528,3,1
2023-01-20,3716.806,4,1
2023-01-21,3773.181,5,1
2023-01-22,3609.136,6,1
2023-01-23,3590.35,0,1
2023-01-24,3514.294,1,1
2023-01-25,3235.857,2,1
2023-01-26,3218.788,3,1
2023-01-27,3432.263,4,1
2023-01-28,3492.906,5,1
2023-01-29,3693.11,6,1
2023-01-30,3518.089,0,1
2023-01-31,3520.627,1,1
2023-02-01,3711.174,2,2
2023-02-02,3797.708,3,2
2023-02-03,3835.639,4,2
2023-02-04,3858.371,5,2
2023-02-05,3664.125,6,2
2023-02-06,3524.325,0,2
2023-02-07,3661.423,1,2
2023-02-08,3817.333,2,2
2023-02-09,3736.887,3,2
2023-02-10,3920.72,4,2
2023-02-11,4044.419,5,2
2023-02-12,3594.878,6,2
2023-02-13,3505.807,0,2
2023-02-14,3686.376,1,2
2023-02-15,3707.725,2,2
2023-02-16,3736.22,3,2
2023-02-17,3942.055,4,2
2023-02-18,4145.935,5,2
2023-02-19,4005.729,6,2
2023-02-20,3808.453,0,2
2023-02-21,3913.453,1,2
2023-02-22,3858.648,2,2
2023-02-23,3861.537,3,2
2023-02-24,3888.598,4,2
2023-02-25,4087.47,5,2
2023-02-26,4077.121,6,2
2023-02-27,4027.267,0,2
2023-02-28,3686.046,1,2
2023-03-01,3802.018,2,3
2023-03-02,3951.051,3,3
2023-03-03,4060.276,4,3
2023-03-04,4053.421,5,3
2023-03-05,4070.231,6,3
2023-03-06,4021.324,0,3
2023-03-07,3883.383,1,3
2023-03-08,3675.421,2,3
2023-03-09,3880.809,3,3
2023-03-10,4106.58,4,3
2023-03-11,4113.833,5,3
2023-03-12,4219.606,6,3
2023-03-13,4044.73,0,3
2023-03-14,3977.034,1,3
2023-03-15,4072.629,2,3
2023-03-16,3981.536,3,3
2023-03-17,4017.022,4,3
2023-03-18,3966.086,5,3
2023-03-19,4014.731,6,3
2023-03-20,4007.336,0,3
2023-03-21,3946.62,1,3
2023-03-22,3608.948,2,3
2023-03-23,3632.24,3,3
2023-03-24,3803.424,4,3
2023-03-25,3906.286,5,3
2023-03-26,4051.073,6,3
2023-03-27,3871.908,0,3
2023-03-28,3903.303,1,3
2023-03-29,3958.098,2,3
2023-03-30,3918.583,3,3
2023-03-31,3974.728,4,3
2023-04-01,4049.696,5,4
2023-04-02,4031.704,6,4
2023-04-03,3915.511,0,4
2023-04-04,4038.906,1,4
2023-04-05,4215.043,2,4
2023-04-06,4122.833,3,4
2023-04-07,4272.441,4,4
2023-04-08,4419.881,5,4
2023-04-09,4240.034,6,4
2023-04-10,4029.684,0,4
2023-04-11,4015.447,1,4
2023-04-12,4196.504,2,4
2023-04-13,4275.564,3,4
2023-04-14,4327.548,4,4
2023-04-15,4054.817,5,4
2023-04-16,4259.846,6,4
2023-04-17,4424.14,0,4
2023-04-18,4193.346,1,4
2023-04-19,4165.437,2,4
2023-04-20,3996.962,3,4
2023-04-21,4120.949,4,4
2023-04-22,4140.184,5,4
2023-04-23,4089.077,6,4
2023-04-24,4013.965,0,4
2023-04-25,4152.677,1,4
2023-04-26,3983.526,2,4
2023-04-27,4013.959,3,4
2023-04-28,4225.484,4,4
2023-04-29,4648.731,5,4
2023-04-30,4329.508,6,4
2023-05-01,4278.839,0,5
2023-05-02,4386.306,1,5
2023-05-03,4309.422,2,5
2023-05-04,4318.187,3,5
2023-05-05,4010.895,4,5
2023-05-06,4142.701,5,5
2023-05-07,4114.455,6,5
2023-05-08,4084.427,0,5
2023-05-09,3644.492,1,5
2023-05-10,4056.111,2,5
2023-05-11,4155.286,3,5
2023-05-12,3921.78,4,5
2023-05-13,3954.437,5,5
2023-05-14,3858.633,6,5
2023-05-15,3739.384,0,5
2023-05-16,3883.467,1,5
2023-05-17,4063.907,2,5
2023-05-18,4143.546,3,5
2023-05-19,4033.9,4,5
2023-05-20,4148.674,5,5
2023-05-21,4065.59,6,5
2023-05-22,3806.121,0,5
2023-05-23,3823.042,1,5
2023-05-24,3955.165,2,5
2023-05-25,3700.827,3,5
2023-05-26,3872.324,4,5
2023-05-27,3996.047,5,5
2023-05-28,4016.023,6,5
2023-05-29,3963.632,0,5
2023-05-30,3983.542,1,5
2023-05-31,4041.025,2,5
2023-06-01,3366.854,3,6
2023-06-02,3277.73,4,6
2023-06-03,3484.112,5,6
2023-06-04,3431.618,6,6
2023-06-05,3223.084,0,6
2023-06-06,3226.895,1,6
2023-06-07,3109.739,2,6
2023-06-08,3130.722,3,6
2023-06-09,3237.184,4,6
2023-06-10,3158.946,5,6
2023-06-11,3327.587,6,6
2023-06-12,3067.53,0,6
2023-06-13,3032.257,1,6
2023-06-14,3054.862,2,6
2023-06-15,2977.3944,3,6
2023-06-16,3173.0448,4,6
2023-06-17,3168.736,5,6
2023-06-18,3210.8648,6,6
2023-06-19,2930.7992,0,6
2023-06-20,2958.7712,1,6
2023-06-21,2978.12,2,6
2023-06-22,3008.7152,3,6
2023-06-23,3198.1696,4,6
2023-06-24,3190.0584,5,6
2023-06-25,3191.5864,6,6
2023-06-26,3128.6704,0,6
2023-06-27,3004.8336,1,6
2023-06-28,2917.156,2,6
2023-06-29,2904.4224,3,6
2023-06-30,2973.4448,4,6
2023-07-01,3018.5448,5,7
2023-07-02,2887.3088,6,7
2023-07-03,2872.28,0,7
2023-07-04,2811.4352,1,7
2023-07-05,2963.963,2,7
2023-07-06,3203.808,3,7
2023-07-07,3344.33,4,7
2023-07-08,3420.454,5,7
2023-07-09,3384.578,6,7
2023-07-10,3190.6,0,7
2023-07-11,3196.729,1,7
2023-07-12,3244.491,2,7
2023-07-13,3152.948,3,7
2023-07-14,3325.91,4,7
2023-07-15,3246.862,5,7
2023-07-16,3313.03,6,7
2023-07-17,3252.412,0,7
2023-07-18,3097.419,1,7
2023-07-19,3120.197,2,7
2023-07-20,3076.834,3,7
